,mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
0,3,9.334570051472004e-42,2.38330014915049e-43,1.0216678329238947e-42,4.143740950939229e-42,1.928327997771536e-41,7.392294681668313e-41
1,4,1.0719676702359157e-43,1.164548911395616e-44,2.815118486246487e-44,7.186271972296211e-44,1.7689782002434741e-43,4.07345953837813e-43
2,5,1.0960469728702347e-44,2.0474425740721528e-45,4.5859337304146866e-45,1.0525833744419799e-44,2.101807137062379e-44,3.591658696155418e-44
3,6,2.4967181149602684e-45,4.659571302780883e-46,1.0702491050210792e-45,2.816873765051651e-45,5.917526211097061e-45,1.001568173465693e-44
4,7,9.458983183942862e-46,2.0356326225281894e-46,4.245406675761323e-46,1.0343604389423806e-45,2.1980507719433505e-45,4.287033653412076e-45
5,8,4.777177588103161e-46,1.0781123897752363e-46,2.1631086042799565e-46,4.992666820200809e-46,1.075970453470328e-45,2.31347942600694e-45
6,9,3.0049328395641865e-46,5.590138440002529e-47,1.2651082786594728e-46,3.2003037246780296e-46,6.908206304645524e-46,1.4921558869155037e-45
7,10,2.111514124656926e-46,4.3365038872988626e-47,8.893065429120724e-47,2.213016467191913e-46,4.640625254709069e-46,8.103328764790451e-46
8,11,1.6735990319029315e-46,3.383453837066625e-47,7.196367943301448e-47,1.713430202771086e-46,3.463789828832676e-46,7.112304091424868e-46
9,12,1.3546505659623217e-46,2.8865634661337053e-47,6.024202296557298e-47,1.3827092359445108e-46,2.6915686411006233e-46,5.984562903269764e-46
